Month,SilverPrice,GoldPrice
3/1/97,186.48,12619.24
4/1/97,170.65,12338.59
5/1/97,170.44,12314.94
6/1/97,169.96,12202.78
7/1/97,155.8,11582.07
8/1/97,162.16,11640.38
9/1/97,172.13,11755.57
10/1/97,181.57,11769.89
11/1/97,187.99,11370.19
12/1/97,224.16,11324.79
1/1/98,230.08,11378.25
2/1/98,261.75,11576.23
3/1/98,243.81,11690.84
4/1/98,249.37,12225.02
5/1/98,225.54,12075.24
6/1/98,222.24,12349.86
7/1/98,232.46,12450.03
8/1/98,220.73,12142.73
9/1/98,213.74,12287.69
10/1/98,211.8,12531.16
11/1/98,211.21,12463.97
12/1/98,207.96,12412.18
1/1/99,219.44,12203.2
2/1/99,235.52,12203.06
3/1/99,220.61,12135.19
4/1/99,217.57,12075.25
5/1/99,226.61,11823.6
6/1/99,219.02,11272.2
7/1/99,226.31,11084.77
8/1/99,230.06,11155.98
9/1/99,229.82,11526.3
10/1/99,235.38,13502.09
11/1/99,225.32,12723.39
12/1/99,226.61,12309.24
1/1/00,227.98,12382.68
2/1/00,231,13077.75
3/1/00,222.37,12483.33
4/1/00,222.72,12205.39
5/1/00,221.88,12100.23
6/1/00,225.78,12769.55
7/1/00,224.71,12609.06
8/1/00,225.15,12541.03
9/1/00,226.92,12558.9
10/1/00,226.27,12515.53
11/1/00,220.78,12444.55
12/1/00,218.04,12690.44
1/1/19,218.83,12355.9
2/1/19,212.75,12181.9
3/1/19,205.1,12262.59
4/1/19,205.51,12186.79
5/1/19,208.12,12778.39
6/1/19,205.32,12702.23
7/1/19,200.56,12611.85
8/1/19,198.27,12836.74
9/1/19,209.25,13503.83
10/1/19,212.19,13592.68
11/1/19,197.92,13254.95
12/1/19,209.23,13217.92
1/2/19,217.59,13606.99
2/2/19,216.57,14388.34
3/2/19,222.74,14332.32
4/2/19,225.27,14806.95
5/2/19,232.04,15410.01
6/2/19,240.95,15725.33
7/2/19,241.17,15277.25
8/2/19,221.65,15075.69
9/2/19,222.55,15459.5
10/2/19,213.93,15311.83
11/2/19,219.02,15396.81
12/2/19,224.21,15977.8
1/3/19,232.76,17104.25
2/3/19,223.45,17135.72
3/3/19,216.64,16224.16
4/3/19,214.92,15548.35
5/3/19,223.78,16746.68
6/3/19,212.87,16649.12
7/3/19,224.92,16229.25
8/3/19,231.01,16526.12
9/3/19,238.71,17374.81
10/3/19,228.73,17199.35
11/3/19,236.99,17748.7
12/3/19,257.74,18553.38
1/4/19,289.57,18806.25
2/4/19,293.23,18329.5
3/4/19,328.37,18306.02
4/4/19,311.3,17716.56
5/4/19,266.05,17362.97
6/4/19,267.81,17859.21
7/4/19,293.55,18329.56
8/4/19,311.06,18560.59
9/4/19,295.92,18682.41
10/4/19,327.21,19250.39
11/4/19,338.98,19821.18
12/4/19,313.33,19442.83
1/5/19,291.23,18554.21
2/5/19,308.92,18490.66
3/5/19,317.53,18954.91
4/5/19,313.07,18775.16
5/5/19,306.74,18347.86
6/5/19,319.76,18770.58
7/5/19,306.68,18480.7
8/5/19,306.57,19105.09
9/5/19,315.91,20028.03
10/5/19,345.09,21062
11/5/19,359.58,21796.08
12/5/19,396.65,23290.06
1/6/19,407.79,24413.14
